Car, Car,class,
Car.brand, b,variable,
Car.horsepower, horsePower,variable,
Car.price, price,variable,
Car, Car,method,
Car, Car,method,
Car.getHorsepower, ,method,
Car.getPrice, ,method,
Car.equals, equals,method,
Car.toString, toString,method,
CarSet, CarSet,class,
CarSet.elements, elements,variable,
CarSet.count, capacity,variable,
CarSet.totalCarsAdded, carsadded,variable,
CarSet.totalCarsDeleted, carsdeleted,variable,
CarSet, CarSet,method,
CarSet.addCar, addCar,method,
CarSet.removeCar, removeCar,method,
CarSet.toString, toString,method,
CarSet.intersection, intersection,method,
CarSet.getTotalCarsAdded, getTotalCarsAdded,method,
CarSet.getTotalCarsDeleted, getTotalCarsDeleted,method,